name,category,aliases
Java,Programming Languages,java
Python,Programming Languages,python
JavaScript,Programming Languages,javascript|js
TypeScript,Programming Languages,typescript|ts
C,Programming Languages,c
C++,Programming Languages,cplusplus|cpp
C#,Programming Languages,csharp|c-sharp
Go,Programming Languages,go|golang
Rust,Programming Languages,rust
Kotlin,Programming Languages,kotlin
Swift,Programming Languages,swift
PHP,Programming Languages,php
Ruby,Programming Languages,ruby
Scala,Programming Languages,scala
R,Programming Languages,r
Dart,Programming Languages,dart
Bash,Programming Languages,bash|shell
PowerShell,Programming Languages,powershell
HTML,Frontend Development,html
CSS,Frontend Development,css
React,Frontend Development,react|reactjs
Next.js,Frontend Development,nextjs|next
Angular,Frontend Development,angular
Vue.js,Frontend Development,vue|vuejs
Svelte,Frontend Development,svelte
Redux,Frontend Development,redux
Redux Toolkit,Frontend Development,redux-toolkit
React Query,Frontend Development,react-query|tanstack-query
Tailwind CSS,Frontend Development,tailwind|tailwindcss
Bootstrap,Frontend Development,bootstrap
Material UI,Frontend Development,mui|material-ui
Sass,Frontend Development,sass|scss
Web Accessibility,Frontend Development,a11y|accessibility
Responsive Design,Frontend Development,responsive-design
Spring,Backend Development,spring
Spring Boot,Backend Development,springboot|spring-boot
Spring MVC,Backend Development,spring-mvc
Spring Security,Backend Development,spring-security
Spring Data JPA,Backend Development,spring-data-jpa
Spring Cloud,Backend Development,spring-cloud
Hibernate,Backend Development,hibernate
JPA,Backend Development,jpa
JDBC,Backend Development,jdbc
Django,Backend Development,django
Flask,Backend Development,flask
FastAPI,Backend Development,fastapi
Node.js,Backend Development,node|nodejs
Express.js,Backend Development,express|expressjs
NestJS,Backend Development,nest|nestjs
ASP.NET Core,Backend Development,aspnet|aspnet-core
.NET,Backend Development,dotnet
Ruby on Rails,Backend Development,rails|ruby-on-rails
Laravel,Backend Development,laravel
MySQL,Databases,mysql
PostgreSQL,Databases,postgres|postgresql
Oracle,Databases,oracle
SQL Server,Databases,mssql|sql-server
SQLite,Databases,sqlite
MariaDB,Databases,mariadb
MongoDB,Databases,mongo|mongodb
Redis,Databases,redis
Cassandra,Databases,cassandra
DynamoDB,Databases,dynamodb
Couchbase,Databases,couchbase
Neo4j,Databases,neo4j
Elasticsearch,Databases,elastic|elasticsearch
SQL,Database Skills,sql
Database Design,Database Skills,database-design
Database Indexing,Database Skills,indexing
Query Optimization,Database Skills,query-optimization
Database Normalization,Database Skills,normalization
Transactions,Database Skills,transactions
ACID,Database Skills,acid
Stored Procedures,Database Skills,stored-procedures
Database Replication,Database Skills,replication
Database Sharding,Database Skills,sharding
REST API,APIs,rest|rest-api
GraphQL,APIs,graphql
gRPC,APIs,grpc
SOAP,APIs,soap
WebSockets,APIs,websockets
OpenAPI,APIs,openapi
Swagger,APIs,swagger
API Gateway,APIs,api-gateway
API Security,APIs,api-security
API Versioning,APIs,api-versioning
OAuth 2.0,APIs,oauth|oauth2
OpenID Connect,APIs,oidc|openid
JWT,APIs,jwt|json-web-token
Microservices,Microservices,microservices
Service Discovery,Microservices,service-discovery
API Gateway,Microservices,api-gateway
Circuit Breaker,Microservices,circuit-breaker
Distributed Systems,Microservices,distributed-systems
Saga Pattern,Microservices,saga
CQRS,Microservices,cqrs
Event-Driven Architecture,Microservices,event-driven
Service Mesh,Microservices,service-mesh
OpenFeign,Microservices,feign
